ID;N° do Pedido;N° do Pedido na Loja Virtual;Data;ID contato;Nome do contato;Cpf/Cnpj;Endereco;Bairro;Município;Cep;Estado;E-mail;Telefone;Desconto pedido;Frete;Observações;Situação;ID produto;Descrição;Quantidade;Valor unitário;Desconto item;Preço de Custo;Preço Total;Código do contato;Código do produto;Frete proporcional;Desconto proporcional;Vendedor;Nº da NFe;Natureza da NFe;Situação da NFe;Última ocorrência;Outras despesas;Outras despesas proporcional;Loja virtual;Custo total;Fornecedor;Margem;"""Lucro""";Modelo;Categoria;Medida;Tecido;Canal;Forma de pagamento;Parcelado?;Parcelado em quantas vezes;Pronto entrega ou encomenda?;;
24750477633;13636;;05/01/2026;17878439017;CLIENTE OCULTO 38;;;Meia Paria;Itapema;;SC;;;R$ 94,08;R$ 33,08;;Logística;16563395532;Vaso Decor Vidro Canelado Verde 33Cm 17D;1;R$ 269,99;R$ 0,00;R$ 135,00;R$ 302,39;;;R$ 11,39;R$ 32,40;Vendedor oculto 5;;;;20/01/2026;0;0;Loja oculta 4;R$ 135,00;Oculto;50%;R$ 135,00;Decoração Geral;Produto categoria F;;;;R$ 0,00;À vista;À vista;Pronta-Entrega;;
24750477633;13636;;05/01/2026;17878439017;CLIENTE OCULTO 39;;;Meia Paria;Itapema;;SC;;;R$ 94,08;R$ 33,08;;Logística;16563395530;Vaso Decor Vidro Canelado Verde 28,5Cm 15D;1;R$ 194,99;R$ 0,00;R$ 97,50;R$ 218,39;;;R$ 8,23;R$ 23,40;Vendedor oculto 5;;;;20/01/2026;0;0;Loja oculta 4;R$ 97,50;Oculto;50%;R$ 97,50;Decoração Geral;Produto categoria F;;;;R$ 0,00;À vista;À vista;Pronta-Entrega;;
24750477633;13636;;05/01/2026;17878439017;CLIENTE OCULTO 40;;;Meia Paria;Itapema;;SC;;;R$ 94,08;R$ 33,08;;Logística;13326148751;Vaso de Vidro Desenhado G;1;R$ 48,99;R$ 30,00;R$ 24,50;R$ 54,87;;;R$ 2,07;R$ 5,88;Vendedor oculto 5;;;;20/01/2026;0;0;Loja oculta 4;R$ 24,50;Oculto;50%;R$ 24,50;Decoração Geral;Produto categoria F;;;;R$ 0,00;À vista;À vista;Pronta-Entrega;;
24750477633;13636;;05/01/2026;17878439017;CLIENTE OCULTO 41;;;Meia Paria;Itapema;;SC;;;R$ 94,08;R$ 33,08;;Logística;16281121515;Vaso Em Vidro Cinza 25cm;1;R$ 269,99;R$ 40,00;R$ 135,00;R$ 302,39;;;R$ 11,39;R$ 32,40;Vendedor oculto 5;;;;20/01/2026;0;0;Loja oculta 4;R$ 135,00;Oculto;50%;R$ 135,00;Decoração Geral;Produto categoria F;;;;R$ 0,00;À vista;À vista;Pronta-Entrega;;
24750546727;13637;;05/01/2026;16358693958;CLIENTE OCULTO 42;;;Vila Buarque;São Paulo;;SP;;;R$ 0,00;R$ 0,00;;Decoração;16014758703;Porta Torta Em Cerâmica Floral 34cm;1;R$ 70,00;R$ 50,00;R$ 35,00;R$ 78,40;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 35,00;Oculto;50%;R$ 35,00;Decoração Geral;Produto categoria F;;;;Cartão de Débito Mastercard - Safrapay;À vista;À vista;Encomenda;;
24752921681;13643;;05/01/2026;17649576256;CLIENTE OCULTO 43;;;Vila Mariana;São Paulo;;SP;;;R$ 0,00;R$ 0,00;;Decoração;16200338443;Azeiteiro Em Porcelana Assar E Servir 340ml Branco;1;R$ 70,00;R$ 50,00;R$ 35,00;R$ 78,40;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 35,00;Oculto;50%;R$ 35,00;Decoração Geral;Produto categoria F;;;;SAFRAPAY Credito MASTERCARD 1x;Parcelado;1x;Pronta-Entrega;;
24753030979;13644;;05/01/2026;17879051885;CLIENTE OCULTO 44;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15667628413;Xícara De Cafezinho Com Pires Vale 75ml;10;R$ 15,00;R$ 50,00;R$ 7,50;R$ 168,00;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 75,00;Oculto;50%;R$ 75,00;Decoração Geral;Produto categoria F;;;;Pix ;À vista;À vista;Pronta-Entrega;;
24753030979;13644;;05/01/2026;17879051885;CLIENTE OCULTO 45;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15866701398;Travessa Refrataria Oval Porcelana 17cm;1;R$ 13,50;R$ 50,00;R$ 6,75;R$ 15,12;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 6,75;Oculto;50%;R$ 6,75;Decoração Geral;Produto categoria F;;;;Pix ;À vista;À vista;Pronta-Entrega;;
24753030979;13644;;05/01/2026;17879051885;CLIENTE OCULTO 46;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15883728490;Travessa em Porcelana Servir;1;R$ 25,00;R$ 50,00;R$ 12,50;R$ 28,00;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 12,50;Oculto;50%;R$ 12,50;Decoração Geral;Produto categoria F;;;;Pix ;À vista;À vista;Pronta-Entrega;;
24753030979;13644;;05/01/2026;17879051885;CLIENTE OCULTO 47;;;;;;;;;R$ 0,00;R$ 0,00;;Decoração;15941134509;Prato De Bolo C/Pé Milão Branco;1;R$ 95,00;R$ 50,00;R$ 47,50;R$ 106,40;;;R$ 0,00;R$ 0,00;Vendedor oculto 4;;;;20/01/2026;0;0;Loja oculta 3;R$ 47,50;Oculto;50%;R$ 47,50;Decoração Geral;Produto categoria F;;;;Pix ;À vista;À vista;Pronta-Entrega;;
